Pos,Race No,Country,Name,Time,Gender
1,257,JPN,JUMPEI YAMAGUCHI,06:12:17,Male
2,229,ESP,ANTONIO JESUS AGUILAR,06:25:54,Male
3,259,JPN,HARUKI OKAYAMA,06:37:54,Male
4,260,JPN,TORU SOMIYA,06:39:58,Male
5,232,ESP,FELIX PONT,06:40:19,Male
6,300,USA,CHIKARA OMINE,06:40:57,Male
7,244,GBR,ALEXANDER MILNE,06:43:21,Male
8,250,HKG,KOK WAI TSE,06:46:51,Male
9,245,GBR,JARLATH MCKENNA,06:51:20,Male
10,255,ITA,ALESSIO MILANI,06:51:29,Male
11,242,GBR,JAMES TURNER,06:53:17,Male
12,281,SWE,ELOV OLSSON,06:53:29,Male
13,241,GBR,JOSEPH TURNER,06:53:43,Male
14,273,POL,ANDRZEJ PIOTROWSKI,06:54:42,Male
15,238,FRA,BENJAMIN POLIN,06:54:49,Male
16,243,GBR,CHRISTOPHER RICHARDSON,06:56:16,Male
17,230,ESP,MANEL DELI,06:56:19,Male
18,299,USA,KRIS BROWN,07:01:12,Male
19,258,JPN,TOMOYA WATANABE,07:01:16,Male
20,261,LTU,Tomas Bizimavičius,07:02:03,Male
21,221,CZE,Lukáš Kozlík,07:08:00,Male
22,292,USA,JOHN JUDGE,07:08:29,Male
23,247,DEU,BOCK ALEXANDER,07:10:24,Male
24,302,IND,AMAR DEVANDA,07:13:00,Male
25,251,IRL,CIARAN MCGONAGLE,07:14:02,Male
26,236,FRA,JOCELYN KERBOUCH,07:15:40,Male
27,248,DEU,MARTIN MÜLLER,07:16:52,Male
28,212,HRV,DEJAN RADANAC,07:22:28,Male
29,240,GBR,DOUGLAS SELMAN,07:22:48,Male
30,267,NLD,Leendert Van Der Lugt,07:27:09,Male
31,254,ITA,MASSIMO GIACOPUZZI,07:33:25,Male
32,207,BRA,GABRIEL BARROS,07:35:02,Male
33,201,ARG,SANTIAGO TRULL,07:36:10,Male
34,285,THA,WEERAPONG WONGSA,07:36:22,Male
35,228,DNK,HENRIK OVE WESTERLIN,07:42:16,Male
36,301,IND,VIPUL KUMAR,07:43:51,Male
37,234,FIN,VILLE TUOMINEN,07:45:24,Male
38,275,POL,DARIUSZ NOŻYŃSKI,07:48:22,Male
39,208,CAN,MATT TRIBE,07:50:44,Male
40,214,HRV,MARKO MARTINCIC,07:59:58,Male
41,215,HRV,ZDRAVKO JADRIJEV,08:06:43,Male
42,218,HRV,RENATOD ASOVIC,08:14:32,Male
43,224,DNK,PETER BORUP ANDERSEN,08:15:32,Male
44,206,AZE,Elmir Askarov,08:17:23,Male
45,274,POL,MATEUSZ DAJNOWSKI,08:22:33,Male
46,266,NLD,Harm Wiegers,08:22:39,Male
47,304,IND,BINAY SAH,08:22:59,Male
48,204,ARG,PABLO BARNES,08:27:22,Male
49,222,CZE,Karel Splýtek,08:29:15,Male
50,205,AUS,BENJAMIN KUANG,08:35:15,Male
